WeekEnding	Gross	Attendance	Capacity	Previews	Perf	year	month	Production
1987-10-04	228403	7724	75	8	0	1987	10	ITW '87
1987-10-11	287207	9350	91	8	0	1987	10	ITW '87
1987-10-18	293063	9865	96	8	0	1987	10	ITW '87
1987-10-25	301210	9285	91	8	0	1987	10	ITW '87
1987-11-01	298284	8707	85	8	0	1987	11	ITW '87
1987-11-08	333350	9062	88	3	5	1987	11	ITW '87
1987-11-15	350890	9730	95	0	8	1987	11	ITW '87
1987-11-22	357560	9914	97	0	8	1987	11	ITW '87
1987-11-29	412620	10317	101	0	8	1987	11	ITW '87
1987-12-06	367441	9744	95	0	8	1987	12	ITW '87
1987-12-13	370639	10003	98	0	8	1987	12	ITW '87
1987-12-20	320650	8557	83	0	8	1987	12	ITW '87
1987-12-27	362213	9524	93	0	8	1987	12	ITW '87
1988-01-03	419567	10352	101	0	8	1988	1	ITW '87
1988-01-10	286033	7809	76	0	8	1988	1	ITW '87
1988-01-17	295110	7923	77	0	8	1988	1	ITW '87
1988-01-24	290139	7932	77	0	8	1988	1	ITW '87
1988-01-31	282275	7865	77	0	8	1988	1	ITW '87
1988-02-07	254445	7011	68	0	8	1988	2	ITW '87
1988-02-14	294676	7462	73	0	8	1988	2	ITW '87
1988-02-21	308995	8237	80	0	8	1988	2	ITW '87
1988-02-28	248335	6915	67	0	8	1988	2	ITW '87
1988-03-06	219514	5777	56	0	8	1988	3	ITW '87
1988-03-13	274187	7484	73	0	8	1988	3	ITW '87
1988-03-20	316536	8783	86	0	8	1988	3	ITW '87
1988-03-27	334800	9128	89	0	8	1988	3	ITW '87
1988-04-03	334271	9303	91	0	8	1988	4	ITW '87
1988-04-10	336227	9335	91	0	8	1988	4	ITW '87
1988-04-17	253338	6590	64	0	8	1988	4	ITW '87
1988-04-24	281151	7863	77	0	8	1988	4	ITW '87
1988-05-01	269379	7709	75	0	8	1988	5	ITW '87
1988-05-08	248306	7229	70	0	8	1988	5	ITW '87
1988-05-15	302517	7755	76	0	8	1988	5	ITW '87
1988-05-22	332390	9023	88	0	8	1988	5	ITW '87
1988-05-29	317316	9182	90	0	8	1988	5	ITW '87
1988-06-05	289151	8313	81	0	8	1988	6	ITW '87
1988-06-12	363061	10006	98	0	8	1988	6	ITW '87
1988-06-19	367756	10176	99	0	8	1988	6	ITW '87
1988-06-26	390277	10273	100	0	8	1988	6	ITW '87
1988-07-03	361967	10170	99	0	8	1988	7	ITW '87
1988-07-10	362932	9287	91	0	8	1988	7	ITW '87
1988-07-17	354112	10191	99	0	8	1988	7	ITW '87
1988-07-24	348845	9984	97	0	8	1988	7	ITW '87
1988-07-31	344061	9974	97	0	8	1988	7	ITW '87
1988-08-07	339131	9993	97	0	8	1988	8	ITW '87
1988-08-14	356212	10077	98	0	8	1988	8	ITW '87
1988-08-21	354616	10148	99	0	8	1988	8	ITW '87
1988-08-28	329351	9613	94	0	8	1988	8	ITW '87
1988-09-04	308972	9079	89	0	8	1988	9	ITW '87
1988-09-11	242251	6854	67	0	8	1988	9	ITW '87
1988-09-18	265601	7665	75	0	8	1988	9	ITW '87
1988-09-25	283176	8113	79	0	8	1988	9	ITW '87
1988-10-02	297539	8597	84	0	8	1988	10	ITW '87
1988-10-09	321049	8639	84	0	8	1988	10	ITW '87
1988-10-16	335686	9426	92	0	8	1988	10	ITW '87
1988-10-23	324157	8907	87	0	8	1988	10	ITW '87
1988-10-30	294677	8415	82	0	8	1988	10	ITW '87
1988-11-06	271000	7365	72	0	8	1988	11	ITW '87
1988-11-13	333327	9254	90	0	8	1988	11	ITW '87
1988-11-20	302008	8445	82	0	8	1988	11	ITW '87
1988-11-27	388174	9492	93	0	8	1988	11	ITW '87
1988-12-04	298260	7782	76	0	8	1988	12	ITW '87
1988-12-11	331880	8780	86	0	8	1988	12	ITW '87
1988-12-18	293845	7807	76	0	8	1988	12	ITW '87
1988-12-25	235186	6863	67	0	8	1988	12	ITW '87
1989-01-01	443864	10338	101	0	8	1989	1	ITW '87
1989-01-08	266212	7366	72	0	8	1989	1	ITW '87
1989-01-15	275362	7613	74	0	8	1989	1	ITW '87
1989-01-22	243462	6968	68	0	8	1989	1	ITW '87
1989-01-29	253535	7443	73	0	8	1989	1	ITW '87
1989-02-05	215140	6183	60	0	8	1989	2	ITW '87
1989-02-12	216974	6191	60	0	8	1989	2	ITW '87
1989-02-19	277461	7619	74	0	8	1989	2	ITW '87
1989-02-26	257617	7572	74	0	8	1989	2	ITW '87
1989-03-05	211062	6273	61	0	8	1989	3	ITW '87
1989-03-12	240371	7200	70	0	8	1989	3	ITW '87
1989-03-19	272495	8216	80	0	8	1989	3	ITW '87
1989-03-26	341691	9868	96	0	8	1989	3	ITW '87
1989-04-02	332525	9113	89	0	8	1989	4	ITW '87
1989-04-09	263687	8065	79	0	8	1989	4	ITW '87
1989-04-16	269868	8070	79	0	8	1989	4	ITW '87
1989-04-23	300731	8794	86	0	8	1989	4	ITW '87
1989-04-30	271211	7652	75	0	8	1989	4	ITW '87
1989-05-07	286889	8937	87	0	8	1989	5	ITW '87
1989-05-14	257669	7796	76	0	8	1989	5	ITW '87
1989-05-21	289334	8838	86	0	8	1989	5	ITW '87
1989-05-28	299040	8727	85	0	8	1989	5	ITW '87
